address,Latitude,Longitude,sqft,year
"975 Powder Plant Road, Bessemer, Alabama",33.3759011,-87.0097614,855000.0,2020
"Greenbriar Parkway N of 1565, Madison, Huntsville, Alabama",34.6858965,-86.8591274,1000000.0,2021
"6835 West Buckeye Road, Phoenix, Arizona",33.4331559,-112.2074782,1009400.0,2007
"16980 W. Commerce Dr., Goodyear, Arizona",33.410689,-112.4223274,820400.0,2008
"5050 West Mohave Street, Phoenix, Arizona",33.4328564,-112.1647919,1205600.0,2010
"800 N. 75th Ave, Phoenix, Arizona",33.4570924,-112.2253617,1267100.0,2011
"777 S 73th Ave, Tolleson, Arizona",33.4404873,-112.2292715,823000.0,2015
"5333 West Lower Buckeye Rd, Phoenix, Arizona",33.4210449,-112.1761815,473200.0,2017
"6701 S. Kolb Road, Tucson, Arizona",32.1306151,-110.8392496,857400.0,2020
"3333 S 59th Ave, Phoenix, Arizona",33.4168446,-112.1843783,554000.0,2020
"580 South 143rd Avenue , Goodyear, Arizona",33.3774266,-112.3665486,855000.0,2020
"8181 W Roosevelt St, Phoenix, Arizona",33.4575485,-112.2335583,1100000.0,2020
"10205 W Roosevelt St, Avondale, Arizona",33.4565854,-112.2784525,242500.0,2020
"3809 E Watkins St, Maricopa, Phoenix, Arizona",33.423614,-111.9990119,129500.0,2018
"3333 S. 7th St., Phoenix, Arizona",33.4162882,-112.0634726,149200.0,2020
"7037 West Van Buren Street , Phoenix, Arizona",33.4500468,-112.2097136,543400.0,2020
"6911 Zeuber Road, Big Rock Township, Little Rock, Arkansas",34.6978983,-92.2085408,826000.0,2021
"13001 Highway 70, North Little Rock, Arkansas",34.7721784,-92.1189532,1058100.0,2021
"2020 E. Central Ave., Building 3, San Bernardino, Calformia",34.0900734,-117.2415235,950000.0,2012
"24208 San Michele Rd, Moreno Valley, Calfomia",33.8723747,-117.2378488,1254600.0,2014
"2125 W. San Bernardino Ave, California ONT | Redlands, California",34.0752699,-117.2267839,777600.0,2014
